site,transect,tree_number,horizon,SampleID,project,date
MSM,upland,401,O,COMPASS_May22_129,COMPASS,_May22
MSM,upland,402,O,COMPASS_May22_130,COMPASS,_May22
MSM,upland,403,O,COMPASS_May22_131,COMPASS,_May22
MSM,upland,404,O,COMPASS_May22_132,COMPASS,_May22
MSM,upland,405,O,COMPASS_May22_133,COMPASS,_May22
MSM,upland,406,O,COMPASS_May22_134,COMPASS,_May22
MSM,upland,407,O,COMPASS_May22_135,COMPASS,_May22
MSM,upland,408,O,COMPASS_May22_136,COMPASS,_May22
MSM,transition,409,O,COMPASS_May22_137,COMPASS,_May22
MSM,transition,410,O,COMPASS_May22_138,COMPASS,_May22
MSM,transition,411,O,COMPASS_May22_139,COMPASS,_May22
MSM,transition,412,O,COMPASS_May22_140,COMPASS,_May22
MSM,transition,413,O,COMPASS_May22_141,COMPASS,_May22
MSM,transition,414,O,COMPASS_May22_142,COMPASS,_May22
MSM,transition,415,O,COMPASS_May22_143,COMPASS,_May22
MSM,transition,416,O,COMPASS_May22_144,COMPASS,_May22
MSM,WC,W1,O,COMPASS_May22_145,COMPASS,_May22
MSM,WC,W2,O,COMPASS_May22_146,COMPASS,_May22
MSM,WC,W3,O,COMPASS_May22_147,COMPASS,_May22
MSM,WC,W4,O,COMPASS_May22_148,COMPASS,_May22
MSM,WC,W5,O,COMPASS_May22_149,COMPASS,_May22
MSM,WC,W6,O,COMPASS_May22_150,COMPASS,_May22
MSM,WC,W7,O,COMPASS_May22_151,COMPASS,_May22
MSM,WC,W8,O,COMPASS_May22_152,COMPASS,_May22
MSM,WC,W9,O,COMPASS_May22_153,COMPASS,_May22
MSM,upland,401,B,COMPASS_May22_156,COMPASS,_May22
MSM,upland,402,B,COMPASS_May22_157,COMPASS,_May22
MSM,upland,403,B,COMPASS_May22_158,COMPASS,_May22
MSM,upland,404,B,COMPASS_May22_159,COMPASS,_May22
MSM,upland,405,B,COMPASS_May22_160,COMPASS,_May22
MSM,upland,406,B,COMPASS_May22_161,COMPASS,_May22
MSM,upland,407,B,COMPASS_May22_162,COMPASS,_May22
MSM,upland,408,B,COMPASS_May22_163,COMPASS,_May22
MSM,transition,409,B,COMPASS_May22_164,COMPASS,_May22
MSM,transition,410,B,COMPASS_May22_165,COMPASS,_May22
MSM,transition,411,B,COMPASS_May22_166,COMPASS,_May22
MSM,transition,412,B,COMPASS_May22_167,COMPASS,_May22
MSM,transition,413,B,COMPASS_May22_168,COMPASS,_May22
MSM,transition,414,B,COMPASS_May22_169,COMPASS,_May22
MSM,transition,415,B,COMPASS_May22_170,COMPASS,_May22
MSM,transition,416,B,COMPASS_May22_171,COMPASS,_May22
GWI,upland,622,O,COMPASS_May22_172,COMPASS,_May22
GWI,upland,633,O,COMPASS_May22_173,COMPASS,_May22
GWI,upland,642,O,COMPASS_May22_174,COMPASS,_May22
GWI,upland,647,O,COMPASS_May22_175,COMPASS,_May22
GWI,upland,650,O,COMPASS_May22_176,COMPASS,_May22
GWI,upland,678,O,COMPASS_May22_177,COMPASS,_May22
GWI,upland,682,O,COMPASS_May22_178,COMPASS,_May22
GWI,upland,683,O,COMPASS_May22_179,COMPASS,_May22
GWI,transition,162,O,COMPASS_May22_180,COMPASS,_May22
GWI,transition,163,O,COMPASS_May22_181,COMPASS,_May22
GWI,transition,164,O,COMPASS_May22_182,COMPASS,_May22
GWI,transition,766,O,COMPASS_May22_183,COMPASS,_May22
GWI,transition,777,O,COMPASS_May22_184,COMPASS,_May22
GWI,transition,782,O,COMPASS_May22_185,COMPASS,_May22
GWI,transition,786,O,COMPASS_May22_186,COMPASS,_May22
GWI,transition,789,O,COMPASS_May22_187,COMPASS,_May22
GWI,WC,W1,O,COMPASS_May22_188,COMPASS,_May22
GWI,WC,W2,O,COMPASS_May22_189,COMPASS,_May22
GWI,WC,W3,O,COMPASS_May22_190,COMPASS,_May22
GWI,WC,W4,O,COMPASS_May22_191,COMPASS,_May22
GWI,WC,W5,O,COMPASS_May22_192,COMPASS,_May22
GWI,WC,W6,O,COMPASS_May22_193,COMPASS,_May22
GWI,WC,W7,O,COMPASS_May22_194,COMPASS,_May22
GWI,WC,W8,O,COMPASS_May22_195,COMPASS,_May22
GWI,upland,622,A,COMPASS_May22_196,COMPASS,_May22
GWI,upland,633,A,COMPASS_May22_197,COMPASS,_May22
GWI,upland,642,A,COMPASS_May22_198,COMPASS,_May22
GWI,upland,647,A,COMPASS_May22_199,COMPASS,_May22
GWI,upland,650,A,COMPASS_May22_200,COMPASS,_May22
GWI,upland,678,A,COMPASS_May22_201,COMPASS,_May22
GWI,upland,682,A,COMPASS_May22_202,COMPASS,_May22
GWI,upland,683,A,COMPASS_May22_203,COMPASS,_May22
GWI,transition,162,A,COMPASS_May22_204,COMPASS,_May22
GWI,transition,163,A,COMPASS_May22_205,COMPASS,_May22
GWI,transition,164,A,COMPASS_May22_206,COMPASS,_May22
GWI,transition,766,A,COMPASS_May22_207,COMPASS,_May22
GWI,transition,777,A,COMPASS_May22_208,COMPASS,_May22
GWI,transition,782,A,COMPASS_May22_209,COMPASS,_May22
GWI,transition,786,A,COMPASS_May22_210,COMPASS,_May22
GWI,transition,789,A,COMPASS_May22_211,COMPASS,_May22
GWI,upland,622,B,COMPASS_May22_212,COMPASS,_May22
GWI,upland,682,B,COMPASS_May22_214,COMPASS,_May22
GCREW,upland,C12,A,COMPASS_Aug22_215,COMPASS,_Aug22
GCREW,upland,C11,A,COMPASS_Aug22_216,COMPASS,_Aug22
GCREW,upland,C10,A,COMPASS_Aug22_217,COMPASS,_Aug22
GCREW,upland,C07,A,COMPASS_Aug22_218,COMPASS,_Aug22
GCREW,upland,C19,A,COMPASS_Aug22_219,COMPASS,_Aug22
GCREW,upland,C09,A,COMPASS_Aug22_220,COMPASS,_Aug22
GCREW,upland,1383,A,COMPASS_Aug22_221,COMPASS,_Aug22
GCREW,upland,1379,A,COMPASS_Aug22_222,COMPASS,_Aug22
GCREW,transition,L1,A,COMPASS_Aug22_223,COMPASS,_Aug22
GCREW,transition,L2,A,COMPASS_Aug22_224,COMPASS,_Aug22
GCREW,transition,L3,A,COMPASS_Aug22_225,COMPASS,_Aug22
GCREW,transition,L4,A,COMPASS_Aug22_226,COMPASS,_Aug22
GCREW,transition,L5,A,COMPASS_Aug22_227,COMPASS,_Aug22
GCREW,transition,L6,A,COMPASS_Aug22_228,COMPASS,_Aug22
GCREW,transition,711,A,COMPASS_Aug22_229,COMPASS,_Aug22
GCREW,transition,713,A,COMPASS_Aug22_230,COMPASS,_Aug22
GCREW,wetland,W1,A,COMPASS_Aug22_231,COMPASS,_Aug22
GCREW,wetland,W2,A,COMPASS_Aug22_232,COMPASS,_Aug22
GCREW,wetland,W3,A,COMPASS_Aug22_233,COMPASS,_Aug22
GCREW,wetland,W4,A,COMPASS_Aug22_234,COMPASS,_Aug22
GCREW,wetland,W5,A,COMPASS_Aug22_235,COMPASS,_Aug22
GCREW,wetland,W6,A,COMPASS_Aug22_236,COMPASS,_Aug22
GCREW,wetland,W7,A,COMPASS_Aug22_237,COMPASS,_Aug22
GCREW,wetland,W8,A,COMPASS_Aug22_238,COMPASS,_Aug22
GCREW,upland,C12,B,COMPASS_Aug22_239,COMPASS,_Aug22
GCREW,upland,C11,B,COMPASS_Aug22_240,COMPASS,_Aug22
GCREW,upland,C10,B,COMPASS_Aug22_241,COMPASS,_Aug22
GCREW,upland,C07,B,COMPASS_Aug22_242,COMPASS,_Aug22
GCREW,upland,C19,B,COMPASS_Aug22_243,COMPASS,_Aug22
GCREW,upland,C09,B,COMPASS_Aug22_244,COMPASS,_Aug22
GCREW,upland,1383,B,COMPASS_Aug22_245,COMPASS,_Aug22
GCREW,upland,1379,B,COMPASS_Aug22_246,COMPASS,_Aug22
GCREW,transition,L1,B,COMPASS_Aug22_247,COMPASS,_Aug22
GCREW,transition,L2,B,COMPASS_Aug22_248,COMPASS,_Aug22
GCREW,transition,L3,B,COMPASS_Aug22_249,COMPASS,_Aug22
GCREW,transition,L4,B,COMPASS_Aug22_250,COMPASS,_Aug22
GCREW,transition,L5,B,COMPASS_Aug22_251,COMPASS,_Aug22
GCREW,transition,L6,B,COMPASS_Aug22_252,COMPASS,_Aug22
GCREW,transition,711,B,COMPASS_Aug22_253,COMPASS,_Aug22
GCREW,transition,713,B,COMPASS_Aug22_254,COMPASS,_Aug22